"city","latitude","stAddress1","stationName","landMark","lastCommunicationTime","id","availableDocks","totalDocks","altitude","stAddress2","longitude","statusValue","testStation","location","postalCode","statusKey","availableBikes"
"",40.734232,"E 15 St & 3 Ave","E 15 St & 3 Ave","","2015-12-11 11:52:01 AM",297,26,27,"","",-73.986923,"In Service",False,"","",1,0
"",40.68683208,"3 Ave & Schermerhorn St","3 Ave & Schermerhorn St","","2015-12-11 11:53:55 AM",298,23,35,"","",-73.9796772,"In Service",False,"","",1,11
"",40.728145,"Shevchenko Pl & E 7 St","Shevchenko Pl & E 7 St","","2015-12-11 11:54:30 AM",300,26,55,"","",-73.990214,"In Service",False,"","",1,28
"",40.72217444,"E 2 St & Avenue B","E 2 St & Avenue B","","2015-12-11 11:53:39 AM",301,36,37,"","",-73.98368779,"In Service",False,"","",1,0
"",40.72082834,"Avenue D & E 3 St","Avenue D & E 3 St","","2015-12-11 11:54:24 AM",302,23,23,"","",-73.97793172,"In Service",False,"","",1,0
"",40.72362738,"Mercer St & Spring St","Mercer St & Spring St","","2015-12-11 11:52:37 AM",303,5,31,"","",-73.99949601,"In Service",False,"","",1,25
"",40.70463334,"Broadway & Battery Pl","Broadway & Battery Pl","","2015-12-11 11:54:27 AM",304,2,36,"","",-74.01361706,"In Service",False,"","",1,33
"",40.76095756,"E 58 St & 3 Ave","E 58 St & 3 Ave","","2015-12-11 11:52:09 AM",305,5,33,"","",-73.96724467,"In Service",False,"","",1,27
"",40.70823502,"Cliff St & Fulton St","Cliff St & Fulton St","","2015-12-11 11:52:30 AM",306,23,37,"","",-74.00530063,"In Service",False,"","",1,14
"",40.71427487,"Canal St & Rutgers St","Canal St & Rutgers St","","2015-12-11 11:54:10 AM",307,23,29,"","",-73.98990025,"In Service",False,"","",1,6
"",40.71307916,"St James Pl & Oliver St","St James Pl & Oliver St","","2015-12-11 11:54:06 AM",308,22,27,"","",-73.99851193,"In Service",False,"","",1,5
"",40.7149787,"Murray St & West St","Murray St & West St","","2015-12-11 11:54:21 AM",309,1,41,"","",-74.013012,"In Service",False,"","",1,39
"",40.68926942,"State St & Smith St","State St & Smith St","","2015-12-11 11:52:09 AM",310,14,36,"","",-73.98912867,"In Service",False,"","",1,20
"",40.7172274,"Norfolk St & Broome St","Norfolk St & Broome St","","2015-12-11 11:51:20 AM",311,30,31,"","",-73.98802084,"In Service",False,"","",1,0
"",40.722055,"Allen St & E Houston St","Allen St & E Houston St","","2015-12-11 11:53:46 AM",312,24,31,"","",-73.989111,"In Service",False,"","",1,5
"",40.69610226,"Washington Ave & Park Ave","Washington Ave & Park Ave","","2015-12-11 11:53:06 AM",313,18,23,"","",-73.96751037,"In Service",False,"","",1,3
"",40.69383,"Cadman Plaza West & Montague St","Cadman Plaza West & Montague St","","2015-12-11 11:53:55 AM",314,26,39,"","",-73.990539,"In Service",False,"","",1,12
"",40.70355377,"South St & Gouverneur Ln","South St & Gouverneur Ln","","2015-12-11 11:53:12 AM",315,1,29,"","",-74.00670227,"In Service",False,"","",1,27
"",40.70955958,"Fulton St & William St","Fulton St & William St","","2015-12-11 11:53:32 AM",316,16,43,"","",-74.00653609,"In Service",False,"","",1,26
"",40.72453734,"E 6 St & Avenue B","E 6 St & Avenue B","","2015-12-11 11:54:06 AM",317,26,27,"","",-73.98185424,"In Service",False,"","",1,1
"",40.711066,"Fulton St & Broadway","Fulton St & Broadway","","2015-12-11 11:51:43 AM",319,17,33,"","",-74.009447,"In Service",False,"","",1,15
"",40.717571,"Leonard St & Church St","Leonard St & Church St","","2015-12-11 11:53:42 AM",320,4,39,"","",-74.005549,"In Service",False,"","",1,33
"",40.69991755,"Cadman Plaza E & Red Cross Pl","Cadman Plaza E & Red Cross Pl","","2015-12-11 11:54:35 AM",321,0,27,"","",-73.98971773,"In Service",False,"","",1,26
"",40.696192,"Clinton St & Tillary St","Clinton St & Tillary St","","2015-12-11 11:54:07 AM",322,29,31,"","",-73.991218,"In Service",False,"","",1,2
"",40.69236178,"Lawrence St & Willoughby St","Lawrence St & Willoughby St","","2015-12-11 11:52:40 AM",323,16,39,"","",-73.98631746,"In Service",False,"","",1,21
"",40.689888,"DeKalb Ave & Hudson Ave","DeKalb Ave & Hudson Ave","","2015-12-11 11:50:57 AM",324,20,51,"","",-73.981013,"In Service",False,"","",1,30
"",40.73624527,"E 19 St & 3 Ave","E 19 St & 3 Ave","","2015-12-11 11:53:29 AM",325,32,35,"","",-73.98473765,"In Service",False,"","",1,3
"",40.72953837,"E 11 St & 1 Ave","E 11 St & 1 Ave","","2015-12-11 11:51:24 AM",326,26,27,"","",-73.98426726,"In Service",False,"","",1,1
"",40.7153379,"Vesey Pl & River Terrace","Vesey Pl & River Terrace","","2015-12-11 11:54:29 AM",327,2,39,"","",-74.01658354,"In Service",False,"","",1,36
"",40.72405549,"Watts St & Greenwich St","Watts St & Greenwich St","","2015-12-11 11:54:39 AM",328,14,23,"","",-74.00965965,"In Service",False,"","",1,8
